system,step,T_C,T_K,isotope_pair,quantity,replicate,value,source_DOI,PMCID,source_table,license,rate_class
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,5,11.8,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,6,9.5,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,7,9.5,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,8,11.2,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,9,10.9,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,10,11.5,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,11,9.8,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,12,9.9,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,13,11.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,14,11.3,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,15,11.9,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,16,9.4,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,17,9.4,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,18,11.0,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,35.0,308.15,H/T,intrinsic_KIE_Northrop,19,10.8,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
